繄|yi1
咆|pao2
欹|yi1
懞|meng2
繮|jiang1
換|huan4
藒|qie4
滹|Hu1
餮|tie4
叒|ruo4
鼖|fen2
掠|lu:e4
釩|fan2
猝|cu4
梨|li2
朗|lang3
嘭|peng1
蔽|bi4
匹|pi3
櫌|you1
隣|lin2
旎|ni3
鋭|rui4
盹|dun3
柎|fu1
襭|xie2
泄|xie4
帡|ping2
皁|zao4
掫|zou1
繋|xi4
阞|le4
辳|nong2
薌|xiang1
飥|tuo1
鉠|yang1
倮|luo3
鞠|ju1
埽|sao4
璃|li2
賴|lai4
宓|mi4
屄|bi1
墻|qiang2
鈄|tou3
稟|bing3
留|liu2
刓|wan2
冡|meng2
菸|yu1
籩|bian1
鐺|dang1
阰|pi2
迢|tiao2
傻|sha3
垈|dai4
蜀|Shu3
厀|xi1
憨|han1
詰|jie2
儦|biao1
康|kang1
搭|da1
罐|guan4
艗|yi4
䛟|jia2
懆|cao3
鸒|yu2
耏|er2
縝|zhen3
毗|pi2
檥|yi3
紂|zhou4
微|wei1
苔|tai2
豻|han4
赴|fu4
煳|hu2
渾|hun2
柒|qi1
莫|mo4
煉|lian4
能|neng2
孶|zi1
纎|xian1
膳|shan4
祛|qu1
欂|bo2
具|ju4
泒|gu1
囘|hui2
觱|bi4
願|yuan4
材|cai2
韃|Da2
冗|rong3
圉|yu3
齔|chen4
杕|di4
澂|cheng2
螾|yin3
䗪|zhe4
菠|bo1
諑|zhuo2
顧|gu4
悧|li4
輥|gun3
囙|yin1
㽞|liu2
澟|lin3
埼|qi2
砒|pi1
髪|fa4
渤|Bo2
照|zhao4
藟|lei3
躊|chou2
㿜|bie3
帬|qun2
藾|lai4
氂|mao2
鬋|jian1
啃|ken3
穉|zhi4
巻|juan3
醼|yan4
惈|guo3
収|shou1
叄|san1
㶸|xie2
垞|cha2
鄴|Ye4
骱|xie4
乨|shi3
潸|shan1
図|tu2
槹|gao1
漜|ye3
劊|gui4
琺|fa4
苟|gou3
娠|shen1
慆|tao1
嶖|yan1
慳|qian1
瀺|chan2
琍|li2
摘|zhai1
瘲|zong4
膫|liao2
嗃|he4
欬|kai4
螄|si1
塾|shu2
癉|dan4
氵|shui3
佉|Qu1
艹|cao3
慷|kang1
劂|jue2
艷|yan4
耨|nou4
墮|duo4
噌|cheng1
兘|shi3
穽|jing3
撙|zun3
頴|ying3
嚜|me5
濋|Chu3
髖|kuan1
次|ci4
攫|jue2
蠋|zhu2
亟|qi4
貞|zhen1
鰷|tiao2
皒|e2
刈|yi4
殽|yao2
薽|zhen1
榻|ta4
州|zhou1
痾|ke1
蠎|mang3
篟|qian4
麮|qu4
卲|Shao4
渡|du4
耙|pa2
餳|xing2
諐|qian1
兪|yu2
膀|pang2
侃|kan3
脣|chun2
瘜|xi1
湊|cou4
腋|ye4
匞|jiang4
偫|zhi4
頽|tui2
貙|chu1
摶|tuan2
藘|lu:2
兕|si4
顯|xian3
婷|ting2
褾|biao3
艁|zao4
併|bing4
滊|xie1
摔|shuai1
鉻|ge4
韤|wa4
概|gai4
堈|gang1
己|ji3
渢|feng1
殛|ji2
熠|yi4
咚|dong1
咎|jiu4
紑|fou2
舢|shan1
腚|ding4
啄|zhuo2
閑|xian2
芒|mang2
莰|kan3
硪|wo4
緡|min2
灸|jiu3
宴|yan4
鬣|lie4
方|fang1
毯|tan3
凝|ning2
移|yi2
謇|jian3
觴|shang1
孰|shu2
胳|ge1
瀆|du2
潑|po1
齷|wo4
雷|lei2
煕|xi1
劻|kuang1
螺|luo2
斠|jiao4
皌|mo4
俑|yong3
薠|fan2
焐|wu4
眢|yuan1
蘵|zhi2
絡|luo4
戈|ge1
澃|jiong3
鑢|lu:4
日|ri4
楙|mao4
郝|Hao3
茁|zhuo2
襡|shu2
据|ju4
游|you2
漱|shu4
坨|tuo2
檖|sui4
魵|fen2
裎|cheng3
芾|fu2
縲|lei2
鑐|xu1
袺|jie2
乥|xx5
握|wo4
○|ling2
苠|min2
秷|zhi2
埶|yi4
郰|zou1
抔|pou2
餎|le5
疒|ne4
圳|zhen4
燰|wei1
賃|lin4
掉|diao4
秉|bing3
茍|ji2
純|chun2
耕|geng1
艾|yi4
橁|xun2
佳|jia1
筋|jin1
鰭|qi2
賽|sai4
琮|cong2
毴|bi1
圂|hun4
歺|dai3
碁|qi2
颯|sa4
凃|tu2
烝|zheng1
舳|zhu2
褽|wei4
挨|ai2
岱|Dai4
安|an1
躅|zhu2
扮|ban4
希|xi1
蔸|dou1
僅|jin3
車|ju1
內|nei4
報|bao4
餾|liu4
鵲|que4
縡|zai4
蹽|liao1
囬|hui2
闌|lan2
道|dao4
盜|dao4
咨|zi1
囫|hu2
扉|fei1
瓘|guan4
孵|fu1
啱|yan1
丅|xia4
豬|zhu1
耳|er3
省|xing3
堡|pu4
嗡|weng1
柞|zuo4
瘈|ji4
眈|dan1
禂|dao3
笮|ze2
酢|zuo4
呱|gu1
螵|piao1
跋|ba2
禨|ji1
孥|nu2
羮|geng1
嗇|se4
瘝|guan1
㠶|fan1
綮|qi3
椿|chun1
隕|yun3
烀|hu1
豞|hou4
恕|shu4
痜|tu1
蔦|niao3
崬|Dong1
掾|yuan4
德|de2
帄|ding1
焞|tun1
舸|ge3
贏|ying2
㤙|en1
層|ceng2
僳|Su4
骸|hai2
牢|lao2
鏽|xiu4
鍐|cong1
輵|ge2
鵵|tu4
窈|yao3
翄|chi4
絆|ban4
花|hua1
㺵|jiu3
藝|yi4
褢|huai2
罷|ba5
綏|sui2
琳|lin2
例|li4
燐|lin2
葦|wei3
靰|wu4
戄|jue2
臛|huo4
竈|zao4
漶|huan4
亂|luan4
怨|yuan4
秕|bi3
設|she4
海|hai3
盡|jin4
資|zi1
趑|zi1
戼|mao3
甪|Lu4
綎|ting1
酤|gu1
徙|xi3
弍|er4
珂|ke1
呣|m4
論|lun4
㑳|zhou4
尕|ga3
戳|chuo1
壙|kuang4
殑|qing2
師|shi1
畵|hua4
捓|ye2
檯|tai2
鶼|jian1
出|chu1
媳|xi2
龔|Gong1
阬|keng1
閳|chan3
欑|zan4
霮|dan4
蜣|qiang1
力|li4
綁|bang3
齧|nie4
儎|zai4
峁|mao3
幚|bang1
得|dei3
崐|kun1
妄|wang4
傖|cang1
斾|pei4
鋇|bei4
吊|diao4
隨|sui2
笓|pi2
准|zhun3
濂|lian2
賑|zhen4
濮|Pu2
龍|long2
挈|qie4
肽|tai4
複|fu4
敖|ao2
玂|qi2
闕|que4
罏|lu2
麌|wu2
硐|tong2
朆|fen1
睿|rui4
砢|luo3
崱|ze2
詆|di3
哉|zai1
溯|su4
畇|yun2
麅|pao2
狂|kuang2
畬|yu2
掲|jie1
臍|qi2
楚|chu3
驢|lu:2
呆|dai1
鑒|jian4
蕻|hong4
鏾|san3
忪|zhong1
吟|yin2
獐|zhang1
譈|dui4
縫|feng4
骽|tui3
嘴|zui3
佗|tuo2
匙|chi2
東|dong1
挍|jiao4
絵|hui4
様|yang4
錀|lun2
擷|xie2
旒|liu2
篾|mie4
産|chan3
胴|dong4
飄|piao1
耋|die2
胾|zi4
軃|duo3
棲|qi1
懈|xie4
憪|xian2
癇|xian2
灴|hong2
黷|du2
粰|fu1
螈|yuan2
歩|bu4
鷖|yi1
鞉|tao2
鎄|ai1
享|xiang3
脛|jing4
繙|fan1
蹯|fan2
颸|si1
乚|ya4
孟|meng4
籬|li2
侇|yi2
庈|qin2
竭|jie2
飪|ren4
叛|pan4
癧|li4
掙|zheng4
笈|ji2
栫|jian4
逅|hou4
鏝|man4
岢|ke3
珌|bi4
鐮|lian2
匶|jiu4
去|qu4
泮|pan4
萵|wo1
坋|ben4
橛|jue2
誠|cheng2
靱|ren4
裘|qiu2
骴|ci1
鶸|ruo4
擋|dang4
嚞|zhe2
屢|lu:3
欝|yu4
樊|fan2
伶|ling2
檗|bo4
澐|yun2
偸|tou1
枇|pi2
曓|bao4
泰|tai4
玻|bo1
蔗|zhe4
蓂|ming2
俞|yu2
毳|cui4
餜|guo3
鐦|kai1
咐|fu4
蜴|yi4
龑|yan3
窺|kui1
瑿|yi1
塘|tang2
鬼|gui3
鷩|bi4
琠|dian3
屪|liao2
棉|mian2
碰|peng4
寤|wu4
巂|xi1
趾|zhi3
級|ji2
挹|yi4
溜|liu1
蠡|li3
犺|kang4
湑|xu3
頲|ting3
殢|ti4
伇|yi4
錄|lu4
肈|zhao4
魑|chi1
詼|hui1
匯|hui4
較|jiao4
㢘|lian2
栱|gong3
贋|yan4
封|feng1
恥|chi3
胖|pang4
飰|fan4
女|ru3
鋕|zhi4
欒|luan2
坴|lu4
麑|ni2
煮|zhu3
噥|nong2
翾|xuan1
脖|bo2
柝|tuo4
尻|kao1
罹|li2
舟|zhou1
憺|dan4
賒|she1
烳|pu3
審|shen3
荇|xing4
朶|duo3
翡|fei3
暕|jian3
蘄|qi2
讘|nie4
佟|Tong2
涿|zhuo1
骭|gan4
款|kuan3
曦|xi1
荸|bi2
朢|wang4
晌|shang3
騅|zhui1
廚|chu2
弩|nu3
跤|jiao1
鳥|niao3
椪|peng4
祏|shi2
箭|jian4
佈|bu4
狥|xun4
埆|que4
瞖|yi4
艶|yan4
婭|ya4
迸|beng4
藏|zang4
鹵|lu3
擲|zhi4
蘑|mo2
晬|zui4
蜮|yu4
芲|hua1
揻|wei1
煥|huan4
澦|Yu4
泊|po1
媅|dan1
斛|hu2
剒|cuo4
柚|you4
藩|fan1
廣|guang3
研|yan2
睊|juan4
壑|he4
蠲|juan1
欃|chan2
簠|fu3
丐|gai4
闊|kuo4
昜|yang2
籜|tuo4
剺|li2
洧|wei3
饇|yu4
踆|qun1
榫|sun3
蒐|sou1
踠|wan3
詶|chou2
漤|lan3
唇|chun2
碴|cha2
歾|mo4
腒|ju1
恐|kong3
噀|xun4
衹|qi2
芟|shan1
䥥|lian2
湟|huang2
毬|qiu2
緙|ke4
鄩|Xun2
烽|feng1
巘|yan3
幘|ze2
衁|huang1
韞|yun4
寬|kuan1
販|fan4
揶|ye2
僎|zhuan4
仰|yang3
布|bu4
煨|wei1
獰|ning2
芣|fu2
珠|zhu1
圱|su2
蘢|long2
旼|min2
鉥|shu4
廙|yi4
硝|xiao1
迭|die2
殻|qiao4
蹾|dun1
殿|dian4
駸|qin1
淓|Fang1
跪|gui4
翪|zong1
䳗|e2
瑋|wei3
邂|xie4
沆|hang4
睚|ya2
鮿|zhe2
釀|niang4
鯁|geng3
萩|qiu1
新|xin1
䠶|she4
翥|zhu4
忕|tai4
薈|hui4
體|ti3
稱|cheng4
佯|yang2
籽|zi3
暆|yi2
橚|su4
鴂|jue2
閨|gui1
亞|ya4
瞿|ju4
蝲|la4
轞|xian4
踢|ti1
蛉|ling2
躑|zhi2
殃|yang1
梏|gu4
哎|ai1
磧|qi4
〨|ba1
遇|yu4
磠|lu3
謦|qi4
戢|ji2
誕|dan4
縛|fu4
營|ying2
摹|mo2
炾|huang3
鮚|jie2
柸|pei1
筳|ting2
深|shen1
銧|guang1
記|ji4
證|zheng4
歪|wai3
喆|zhe2
嚅|ru2
従|cong2
牆|qiang2
疼|teng2
㳂|yan2
刪|shan1
嚨|long2
隩|yu4
鐃|nao2
韣|du2
平|ping2
正|zheng4
碳|tan4
蓉|rong2
舫|fang3
馭|yu4
壞|huai4
笳|jia1
克|ke4
詠|yong3
命|ming4
帰|gui1
汊|cha4
屋|wu1
炘|xin1
颭|zhan3
拑|qian2
壜|tan2
琯|guan3
惪|de2
閺|wen2
騶|zou1
跟|gen1
朏|fei3
洮|tao2
芫|yuan2
禋|yin1
嘲|zhao1
尾|yi3
蚳|chi2
飤|si4
棬|quan1
嗛|qian4
齁|hou1
褲|ku4
璈|ao2
丿|pie3
痁|dian4
唞|dou3
濠|hao2
鷗|ou1
鈇|fu1
軛|e4
觵|gong1
烕|mie4
胲|hai3
鉊|zhao1
僦|jiu4
澧|Li3
拡|kuo4
剡|yan3
鄾|you1
厷|hong2
駄|tuo2
庳|bi4
嫘|Lei2
溽|ru4
諗|shen3
尲|gan1
啶|ding4
寸|cun4
襪|wa4
鳾|shi1
蕒|mai3
酶|mei2
芏|du4
嘥|sai1
氳|yun1
濆|fen2
韁|jiang1
檇|zui4
喭|yan4
湃|pai4
嗬|he1
磵|jian4
紈|wan2
嬙|qiang2
雊|gou4
蔞|lou2
傌|ma4
匁|xx5
閂|shuan1
咍|hai1
髺|kuo4
旡|ji4
糍|ci2
翺|ao2
嫫|mo2
蠢|chun3
襆|fu2
午|wu3
艱|jian1
饊|san3
拳|quan2
桁|heng2
壎|xun1
溴|xiu4
砑|ya4
鉶|xing2
共|gong4
鰮|wen1
粗|cu1
邅|zhan1
慴|she4
憀|liao2
面|mian4
鋯|gao4
菥|xi1
薫|xun1
突|tu1
聵|kui4
讙|huan1
整|zheng3
鴪|yu4
條|tiao2
皙|xi1
括|kuo4
廑|qin2
惚|hu1
潃|xiu3
筷|kuai4
餱|hou2
嵙|ke1
牘|du2
欙|lei2
瑞|rui4
矰|zeng1
站|zhan4
元|yuan2
其|qi2
侈|chi3
涉|she4
慜|min3
彷|pang2
衿|jin1
蒙|meng2
礗|pin1
溼|shi1
嫖|piao2
躠|xie4
嘣|beng1
摽|biao4
埲|beng3
魌|qi1
砹|ai4
懲|cheng2
郇|xun2
睅|han4
偭|mian3
局|ju2
宥|you4
笫|zi3
陶|tao2
攃|sa4
麝|she4
嚔|ti4
鑞|la4
痼|gu4
宊|tu2
獸|shou4
蘧|qu2
氺|shui3
迤|yi3
瞅|chou3
拙|zhuo1
緆|xi1
嶸|rong2
負|fu4
府|fu3
湢|bi4
豏|xian4
脡|ting3
卹|xu4
挔|lu:3
慿|ping2
埵|duo3
息|xi1
腠|cou4
蓸|cao2
鴞|xiao1
鶏|ji1
暠|hao4
桲|bo2
㵎|jian4
冉|ran3
靭|ren4
娚|nan2
謋|huo4
飮|yin3
賤|jian4
挲|suo1
栰|fa2
脿|biao1
喝|he4
蹬|deng1
臾|yu2
太|tai4
濔|mi3
魘|yan3
弈|yi4
伺|si4
胙|zuo4
臀|tun2
拕|tuo1
拉|la1
池|chi2
莔|meng2
潛|qian2
扈|hu4
㨿|ju4
溲|sou1
讐|chou2
蛭|zhi4
牡|mu3
罣|gua4
淡|dan4
銎|qiong1
仃|ding1
婥|chuo4
柵|zha4
咕|gu1
沔|mian3
丕|pi1
轅|yuan2
鄮|mao4
酏|yi2
之|zhi1
羗|qiang1
辯|bian4
経|jing1
蟿|qi4
壘|lei3
沮|ju3
欖|lan3
飢|ji1
滙|hui4
繚|liao2
羧|suo1
薯|shu3
引|yin3
慄|li4
送|song4
薳|Wei3
㐖|Ye4
僄|piao4
餋|juan4
嘮|lao4
崢|zheng1
歊|xiao1
穴|xue2
邾|zhu1
俜|ping1
歰|se4
攴|pu1
僜|Deng4
利|li4
嗜|shi4
鱮|xu4
楮|chu3
厠|ce4
郄|Xi4
驁|ao4
儋|dan1
拫|hen2
僑|qiao2
飆|biao1
哶|mie1
取|qu3
廠|chang3
陪|pei2
鹺|cuo2
兟|shen1
黻|fu2
夯|hang1
奧|ao4
甍|meng2
圬|wu1
捐|juan1
錴|lu4
柏|bo4
勈|yong3
殥|yin2
査|cha2
痣|zhi4
瘧|yao4
尪|wang1
嘒|hui4
蚈|qian1
衎|kan4
搨|ta4
啷|lang1
鰺|shen1
遒|qiu2
啤|pi2
瘌|la4
鈌|jue2
鑯|jian1
把|ba4
鍀|de2
䔢|hua2
缾|ping2
箊|yu1
幮|chu2
鋍|bo2
兝|fen1 ke4
汶|Wen4
跼|ju2
熊|xiong2
抑|yi4
理|li3
落|luo4
籭|shai1
庸|yong1
秩|zhi4
鈒|ji2
吒|zha4
劃|hua4
膽|dan3
鐏|zun1
馮|ping2
桓|huan2
談|tan2
螯|ao2
嗵|tong1
拼|pin1
籮|luo2
膣|zhi4
鵶|ya1
瑤|yao2
剰|sheng4
枲|xi3
緻|zhi4
嬋|chan2
嬬|xu1
肄|yi4
縶|zhi2
繘|yu4
躩|jue2
卄|nian4
鴒|ling2
稠|chou2
鄲|Dan1
莪|e2
眩|xuan4
櫓|lu3
據|ju4
榲|wen1
艇|ting3
憬|jing3
嵼|chan3
榧|fei3
桐|tong2
彿|fu2
眶|kuang4
廹|po4
譹|hao2
巛|chuan1
隋|Sui2
禑|wu2
榨|zha4
櫬|chen4
吆|yao1
耎|ruan3
橙|cheng2
壌|rang3
燮|xie4
汍|wan2
輝|hui1
基|ji1
豉|chi3
綳|beng1
皤|po2
惎|ji4
鈰|shi4
暗|an4
泜|zhi1
軿|ping2
支|zhi1
萁|qi2
僨|fen4
猨|yuan2
倔|jue2
諤|e4
臣|chen2
蟈|guo1
觀|guan4
反|fan3
感|gan3
黗|tun1
諉|wei3
眂|shi4
瘚|jue2
纆|mo4
鋒|feng1
虐|nu:e4
蜂|feng1
訁|yan2
幻|huan4
繆|mu4
桺|liu3
藥|yao4
晾|liang4
肚|du4
粼|lin2
垃|la1
亹|wei3
管|guan3
専|zhuan1
衊|mie4
蘂|rui3
幃|wei2
玟|wen2
鉾|mou2
彆|bie4
鷄|ji1
嘟|du1
幋|pan2
敏|min3
勾|gou4
壁|bi4
慟|tong4
砃|dan1
㲋|chuo4
梸|li2
裯|chou2
蚘|hui2
桒|sang1
㦂|chang2
喳|zha1
屏|ping2
煆|ya1
筰|zuo2
摎|liao2
憫|min3
怠|dai4
晩|wan3
輒|zhe2
拠|ju4
糟|zao1
龕|kan1
晨|chen2
袒|tan3
鉬|mu4
猵|pian4
蕋|rui3
蛐|qu1
騋|lai2
錟|tan2
蠣|li4
跗|fu1
養|yang3
吮|shun3
鱣|zhan1
熿|huang2
矓|long2
莕|xing4
縚|tao1
瘮|shen4
輇|quan2
靴|xue1
啡|fei1
澬|zi1
逃|tao2
檎|qin2
崮|gu4
嵡|weng3
槮|sen1
歴|li4
庉|dun4
蓍|shi1
褰|qian1
阨|e4
怒|nu4
錏|ya4
諄|zhun1
酖|zhen4
鈈|bu4
潰|kui4
堄|ni4
凳|deng4
睖|leng4
拽|zhuai4
劍|jian4
茂|mao4
籚|lu2
眑|yao3
徜|chang2
栳|lao3
恁|nin2
儽|lei3
樾|yue4
獚|huang2
喊|han3
髈|bang3
馝|bi4
御|yu4
渫|xie4
叩|kou4
彼|bi3
桜|ying1
鑼|luo2
紡|fang3
茱|zhu1
遫|su4
歫|ju4
蔾|li2
亠|tou2
嘜|mai4
湓|pen2
耇|gou3
鷦|jiao1
鍘|zha2
蝐|mao4
翯|he4
轏|zhan4
屭|xi4
僂|lu:3
宮|gong1
焜|kun1
貫|guan4
迦|jia1
鐸|duo2
藠|jiao4
靈|ling2
夾|jia4
昫|xu4
々|xx
轖|se4
葠|shen1
狷|juan4
矜|jin1
湄|mei2
璧|bi4
汝|ru3
竝|bing4
稻|dao4
贜|zang1
鷉|ti1
鰨|ta3
峠|xx5
絞|jiao3
鴟|chi1
芪|qi2
髡|kun1
萃|cui4
栔|qi4
抌|zhen3
籃|lan2
砰|peng1
邠|bin1
酷|ku4
否|pi3
脃|cui4
甙|dai4
孖|zi1
靶|ba3
暒|qing2
貅|xiu1
鈃|xing2
篳|bi4
鸎|ying1
嘀|di1
紐|niu3
脞|cuo3
痗|mei4
龝|qiu1
镸|chang2
塍|cheng2
舗|pu4
亼|ji2
鯄|qiu2
鰩|yao2
颼|sou1
衄|nu:4
髣|fang3
揫|jiu1
住|zhu4
慉|xu4
卽|ji2
冋|jiong1
嗅|xiu4
揝|zuan4
袤|mao4
嚦|li4
憹|nao2
斸|zhu3
潽|pu1
卛|shuai4
癸|gui3
拂|fu2
郳|ni2
鴰|gua1
址|zhi3
傑|jie2
溾|wei1
為|wei4
郔|Yan2
仞|ren4
牠|ta1
酣|han1
斚|jia3
諙|hua4
縷|lu:3
推|tui1
鈆|qian1
鯪|ling2
咂|za1
鹹|xian2
狸|li2
韍|fu2
泲|ji3
醖|yun4
罫|gua4
呉|Wu2
厝|cuo4
歙|she4
乎|hu1
倖|xing4
斕|lan2
歐|ou1
攛|cuan1
簹|dang1
瞪|deng4
慬|jin3
偰|xie4
桄|guang4
菁|jing1
賉|xu4
遛|liu4
佤|wa3
矱|yue1
鉿|ha1
奚|xi1
脝|heng1
晿|cheng1
侌|yin1
粬|qu1
菅|jian1
牮|jian4
丱|kuang4
艣|lu3
玹|xuan2
螚|nai4
篝|gou1
刊|kan1
擀|gan3
粒|li4
鋸|ju4
故|gu4
蠕|ru2
汲|ji2
狓|pi1
螎|rong2
曩|nang3
筏|fa2
厳|yan2
肉|rou4
蹏|ti2
羥|qiang3
框|kuang4
讞|yan4
斢|tou3
緹|ti2
雋|jun4
幔|man4
貔|pi2
洽|qia4
櫺|ling2
鬧|nao4
綫|xian4
逡|qun1
卣|you3
弓|gong1
梲|zhuo2
甭|beng2
嚶|ying1
虔|qian2
仉|Zhang3
瞟|piao3
閽|hun1
屜|ti4
溛|wa1
磅|bang4
諦|di4
箒|zhou3
鉛|qian1
顑|kan3
篤|du3
酧|chou2
捍|han4
書|shu1
鉲|ka3
標|biao1
戀|lian4
俅|qiu2
裸|luo3
㠯|yi3
絓|kua1
屖|xi1
曲|qu3
祚|zuo4
絹|juan4
鼄|zhu1
毫|hao2
悽|qi1
尩|wang1
澴|huan2
賻|fu4
簿|bu4
崆|kong1
擦|ca1
裨|pi2
蠻|man2
咧|lie5
鯗|xiang3
暔|nan2
蕾|lei3
焮|xin4
馵|zhu4
儷|li4
浯|Wu2
粉|fen3
峭|qiao4
磷|lin2
駈|qu1
荘|zhuang1
螳|tang2
碑|bei1
鯖|qing1
愑|yong3
鐡|tie3
髠|kun1
勅|chi4
輣|peng2
逾|yu2
氾|fan4
虵|she2
卞|bian4
磕|ke4
慰|wei4
蘺|li2
曹|cao2
㗎|jia4
乍|zha4
扢|xi4
性|xing4
宁|zhu4
凹|wa1
沁|qin4
梳|shu1
倜|ti4
姸|yan2
邴|bing3
鸐|di2
耐|nai4
捎|shao1
拊|fu3
獣|shou4
纕|xiang1
嵞|Tu2
癜|dian4
鼉|tuo2
圌|chui2
兲|tian1
癩|lai4
鮫|jiao1
涶|tuo4
霨|wei4
治|zhi4
諳|an1
蹧|zao1
狴|bi4
黹|zhi3
囧|jiong3
罕|han3
逮|dai4
龐|pang2
蹝|xi3
塱|lang3
嚷|rang3
銜|xian2
汨|Mi4
淘|tao2
璁|cong1
觿|xi1
餚|yao2
頓|dun4
俉|wu2
揆|kui2
暮|mu4
瓶|ping2
獁|ma3
梥|song1
簥|jiao1
澹|dan4
鄦|xu3
簮|zan1
芝|zhi1
穫|huo4
詨|jiao1
巖|yan2
韝|gou1
宩|shi3
險|xian3
業|ye4
署|shu3
膲|jiao1
魨|tun2
礁|jiao1
蜒|yan2
戔|jian1
刺|ci4
餓|e4
坓|jing3
珊|shan1
峇|ke4
恰|qia4
樁|zhuang1
滛|yin2
蜎|yuan1
斂|lian4
磤|yin3
鑰|yue4
挽|wan3
蝀|dong1
滋|zi1
錙|zi1
嚲|duo3
肭|na4
郜|Gao4
啖|dan4
佧|ka3
潾|lin2
詀|zhan1
棩|yuan1
棼|fen2
埳|kan3
昝|Zan3
蹺|qiao1
滾|gun3
昵|ni4
賣|mai4
袗|zhen3
匉|peng1
肏|cao4
雉|zhi4
嬃|xu1
嬡|ai4
琴|qin2
嚥|yan4
乃|nai3
嬔|fu4
卌|xi4
悵|chang4
乳|ru3
壤|rang3
詗|xiong4
捧|peng3
䥑|mai4
闍|she2
癎|xian2
鑫|xin1
縐|zhou4
遉|zhen1
厗|ti2
毽|jian4
駑|nu2
硇|nao2
魁|kui2
䬠|fei1
鼏|mi4
絶|jue2
莖|jing1
翫|wan2
尭|yao2
湱|huo4
墠|shan4
穹|qiong2
武|wu3
盅|zhong1
僉|qian1
幯|jie2
鶬|cang1
萱|xuan1
畋|tian2
朊|ruan3
崏|min2
鬠|kuai4
柤|zha1
疝|shan4
宵|xiao1
嬲|niao3
蘼|mi2
虎|hu3
擗|pi3
憖|yin4
搵|wen4
饗|xiang3
忡|chong1
踵|zhong3
哨|shao4
鑹|cuan1
絅|jiong3
謏|xiao3
盎|ang4
廟|miao4
狃|niu3
圙|lu:e4
蟆|ma2
翠|cui4
焟|xi1
㩐|den4
苕|tiao2
凟|du2
蝸|wo1
瘓|huan4
罪|zui4
注|zhu4
跳|tiao4
〇|ling2
壿|zun1
堅|jian1
蔻|kou4
麟|lin2
槑|mei2
椏|ya1
剖|pou1
氝|nei4
剏|chuang4
厞|fei4
俁|yu3
淰|nian3
閌|kang1
枹|fu1
脊|ji3
疔|ding1
忬|yu4
詧|cha2
雲|yun2
毓|yu4
茹|ru2
娉|ping1
慢|man4
峰|feng1
燦|can4
餕|jun4
唷|yo5
溮|Shi1
遽|ju4
耤|ji2
鍪|mou2
膋|liao2
鼡|shu3
鮪|wei3
奩|lian2
虺|hui3
晝|zhou4
蕔|bao1
譌|e2
阼|zuo4
翔|xiang2
瓵|yi2
剝|bo1
郹|ju2
嗯|en5
椳|wei1
迮|ze2
迣|zhi4
鍔|e4
朣|tong2
姄|min2
娓|wei3
殨|kui4
獯|Xun1
蚱|zha4
琨|kun1
瑛|ying1
查|zha1
諵|nan2
肝|gan1
嚃|ta4
駵|liu2
莝|cuo4
漪|yi1
綴|zhui4
曀|yi4
慎|shen4
牣|ren4
癤|jie2
醫|yi1
涎|xian2
猸|mei2
跆|tai2
鍤|cha1
濬|jun4
聖|sheng4
澍|shu4
鸘|shuang1
嚚|yin2
倥|kong3
粕|po4
佰|bai3
媢|mao4
慊|qie4
筒|tong3
液|ye4
瘯|cu4
䭾|tuo2
逯|lu4
攖|ying1
豦|qu2
洪|hong2
窠|ke1
緅|zou1
價|jie5
痚|xiao1
摩|mo2
菼|tan3
詢|xun2
庒|zhuang1
㐄|kua4
襦|ru2
軺|yao2
粲|can4
青|qing1
竢|si4
過|guo5
鯽|ji4
舀|yao3
軲|gu1
舅|jiu4
疫|yi4
祆|Xian1
剌|la4
洿|wu1
鼙|pi2
犵|qi4
軥|qu2
屠|tu2
鈸|bo2
芍|shao2
劭|shao4
諜|die2
錔|ta4
搇|qin4
西|xi1
暎|ying4
楝|lian4
騸|shan4
滿|man3
餿|sou1
鹽|yan2
茷|fa2
闐|tian2
篔|yun2
汅|mian3
騖|wu4
員|yuan2
疧|zhi1
攘|rang3
喦|nie4
笭|ling2
潷|bi4
漼|cui3
喇|la3
堦|jie1
藙|yi4
雜|za2
瑉|min2
艉|wei3
尉|wei4
枴|guai3
夼|kuang3
痌|tong1
婹|yao3
銰|ai1
颾|sao1
鏗|keng1
屓|xi4
抬|tai2
蹕|bi4
鷾|yi4
糌|zan1
集|ji2
矬|cuo2
䩦|tiao2
斫|zhuo2
刡|min3
諞|pian3
駭|hai4
貍|li2
陗|qiao4
駮|bo2
胹|er2
蚹|fu4
當|dang4
吡|bi3
撢|dan3
缶|fou3
鄗|hao4
峞|wei2
看|kan4
攥|zuan4
浹|jia1
桟|zhan4
嵄|mei3
僃|bei4
坌|ben4
餒|nei3
鷹|ying1
閻|Yan2
斐|fei3
親|qing4
持|chi2
癙|shu3
捭|bo4
錨|mao2
末|mo4
醵|ju4
鮌|Gun3
勞|lao2
埄|feng1
岑|cen2
薁|yu4
盛|sheng4
觧|xie4
鄕|xiang1
譱|shan4
咔|ka3
鏜|tang1
履|lu:3
掎|ji3
洶|xiong1
顥|hao4
寑|qin3
尤|you2
鷿|pi4
瘤|liu2
鋪|pu4
菲|fei3
企|qi3
制|zhi4
枵|xiao1
天|tian1
決|jue2
昧|mei4
殼|qiao4
邘|yu2
鵫|zhao4
蛞|kuo4
甁|ping2
蔵|cang2
唐|tang2
雹|bao2
䠀|tang1
懐|huai2
豌|wan1
穅|kang1
誒|xi1
