盘|pan2
杌|wu4
蹬|deng1
麽|mo2
旡|ji4
曱|yue1
绎|yi4
烺|lang3
蔑|mie4
啰|luo5
皇|huang2
常|chang2
喻|yu4
糨|jiang4
歌|ge1
瑷|ai4
攋|la4
鄦|xu3
彸|zhong1
壸|kun3
刻|ke4
攲|qi1
荡|dang4
犷|guang3
垣|yuan2
祛|qu1
㱩|du2
殷|yin3
笺|jian1
脏|zang1
罫|gua4
奜|fei3
樎|su4
层|ceng2
屛|ping2
歉|qian4
蚤|zao3
柸|pei1
适|shi4
楦|xuan4
曚|meng2
飨|xiang3
敬|jing4
帨|shui4
屣|xi3
湅|lian4
嗙|pang3
縁|yuan2
椓|zhuo2
亸|duo3
慥|zao4
释|shi4
门|men2
傞|suo1
慜|min3
谰|lan2
运|yun4
昜|yang2
凇|song1
怲|bing3
釉|you4
浑|hun2
餪|nuan3
崔|cui1
节|jie2
讫|qi4
谙|an1
脢|mei2
憩|qi4
軽|qing1
琫|beng3
枉|wang3
蓉|rong2
濆|fen2
抶|chi4
衹|qi2
昝|Zan3
庙|miao4
哭|ku1
隔|ge2
窍|qiao4
媚|mei4
醝|cuo2
仉|Zhang3
骓|zhui1
瓵|yi2
月|yue4
忱|chen2
卞|bian4
虾|xia1
燽|chou2
挿|cha1
员|yuan2
磛|chan2
朙|ming2
重|zhong4
謦|qi4
惊|jing1
嘥|sai1
礜|yu4
实|shi2
狈|bei4
膦|lin4
潺|chan2
蕔|bao1
胚|pei1
槪|gai4
蹎|dian1
釈|shi4
綮|qi3
程|cheng2
廱|yong1
檫|cha2
涣|huan4
嬫|rong2
覌|guan1
恋|lian4
冰|bing1
北|bei3
狱|yu4
碲|di4
潇|xiao1
禢|Ta4
修|xiu1
鹸|jian3
齵|yu2
舅|jiu4
鰦|zi1
鞙|xuan4
怩|ni2
鬁|li4
峦|luan2
鼒|zi1
郤|xi4
喌|zhou1
旊|fang3
嫕|yi4
舨|ban3
翀|chong1
裔|yi4
泳|yong3
轲|ke3
捻|nian3
七|qi1
掔|qian1
扽|den4
暂|zan4
礿|yue4
蹈|dao3
饰|shi4
俄|e2
谷|gu3
牤|mang1
缗|min2
胺|an4
难|nan4
蠡|li3
伲|ni4
汷|Zhong1
厢|xiang1
氽|tun3
孭|mie1
鹪|jiao1
麇|jun1
咝|si1
碌|liu4
懰|liu2
乗|cheng2
枥|li4
耘|yun2
霙|ying1
藄|qi2
歼|jian1
愀|qiao3
郧|yun2
喟|kui4
趮|zao4
誙|keng1
十|shi2
描|miao2
绮|qi3
蟀|shuai4
褱|huai2
天|tian1
箧|qie4
塬|yuan2
促|cu4
吲|yin3
侠|xia2
孵|fu1
讱|ren4
椪|peng4
蕰|yun4
耤|ji2
诡|gui3
距|ju4
菔|fu2
筦|Guan3
舣|yi3
㔾|jie2
烋|xiao1
简|jian3
棂|ling2
烨|ye4
亢|kang4
囧|jiong3
綍|fu2
逞|cheng3
饥|ji1
絁|shi1
暦|li4
缧|lei2
鬷|zong1
囿|you4
偫|zhi4
抻|chen1
赔|pei2
靲|qin2
虏|lu3
瘳|chou1
衄|nu:4
骜|ao4
啮|nie4
钴|gu3
吗|ma5
戸|hu4
㢲|xun4
赐|ci4
勯|dan1
悁|juan4
芡|qian4
腊|la4
咅|pou3
洗|xi3
渊|yuan1
赍|ji1
脬|pao1
砌|qi4
樴|zhi2
趾|zhi3
蚶|han1
炭|tan4
瘌|la4
胥|xu1
嗅|xiu4
衎|kan4
猎|lie4
堍|tu4
侜|zhou1
妇|fu4
痡|pu1
鸖|he4
匾|pian2
耿|geng3
絫|lei3
瘚|jue2
吸|xi1
朴|pu3
逐|zhu2
蜘|zhi1
腺|xian4
吰|hong2
冱|hu4
衡|heng2
徇|xun4
区|qu1
靖|jing4
挙|ju3
泺|luo4
檩|lin3
瓸|bai3 wa3
吝|lin4
扑|pu1
砳|le4
旴|xu1
皀|bi1
乣|jiu3
蟨|jue2
傀|kui3
珌|bi4
攺|yi3
蠙|bin1
潴|zhu1
鹚|ci2
来|lai2
空|kong4
锬|tan2
矔|guan4
笾|bian1
喣|xu3
赖|lai4
蒴|shuo4
履|lu:3
顶|ding3
剣|jian4
蛅|ran2
怎|zen3
稍|shao4
甓|pi4
粳|jing1
疟|yao4
㐰|xin4
劭|shao4
霰|xian4
昄|ban3
涡|wo1
鯸|hou2
拥|yong1
告|gao4
茬|cha2
蹢|di2
唞|dou3
陲|chui2
櫜|gao1
钊|zhao1
嘴|zui3
鏖|ao2
仡|yi4
底|di3
蠹|du4
迻|yi2
屡|lu:3
痜|tu1
箴|zhen1
騋|lai2
吒|zha4
脓|nong2
熇|kao3
烩|hui4
郚|wu2
龠|yue4
胾|zi4
媪|ao3
恞|yi2
釸|xi4
噍|jiao4
份|fen4
蟺|shan4
悚|song3
催|cui1
厨|chu2
帏|wei2
巢|chao2
簆|kou4
嚵|chan2
奉|feng4
胝|zhi1
鲼|fen4
麸|fu1
瘢|ban1
枨|cheng2
匘|nao3
前|qian2
绒|rong2
禔|ti2
呇|qi3
烽|feng1
璱|se4
瑭|tang2
甸|dian4
鶕|an1
笓|pi2
滂|pang1
掲|jie1
梿|lian2
础|chu3
蕊|rui3
排|pai2
裋|shu4
硏|yan2
耦|ou3
忀|xiang1
裳|chang2
珔|jian4
荆|jing1
彷|pang2
璋|zhang1
坌|ben4
骛|wu4
捥|wan4
爻|yao2
邎|yao2
悱|fei3
闹|nao4
惨|can3
鎸|juan1
亏|kui1
唲|er2
朱|zhu1
钯|pa2
軠|kuang2
屋|wu1
熵|shang1
啃|ken3
杲|gao3
待|dai4
詊|pan4
鹁|bo2
毒|du2
旗|qi2
鏽|xiu4
僾|ai4
觉|jue2
菉|lu4
嫫|mo2
膻|shan1
唃|gu1
粉|fen3
吁|yu4
睦|mu4
頞|e4
丅|xia4
䶑|ti4
削|xue1
郛|fu2
剂|ji4
醉|zui4
円|yuan2
寸|cun4
擂|lei4
价|jie5
喊|han3
兼|jian1
瘪|bie3
苺|mei2
韨|fu2
馋|chan2
襆|fu2
觅|mi4
骀|tai2
襾|ya4
红|hong2
慈|ci2
卵|luan3
皻|zha1
蕳|jian1
胑|zhi1
枴|guai3
螭|chi1
昆|kun1
焈|xi1
拒|ju4
漾|yang4
歔|xu1
呢|ni2
咮|zhou4
蟥|huang2
斠|jiao4
碞|yan2
卡|qia3
谯|qiao4
恕|shu4
莉|li4
蠚|he1
嘧|mi4
挟|xie2
嶫|ye4
跐|ci3
鑯|jian1
崶|feng1
凃|tu2
屝|fei4
礁|jiao1
璧|bi4
瘩|da2
镰|lian2
升|sheng1
蛧|wang3
依|yi1
峿|wu2
踔|chuo1
代|dai4
卨|xie4
梍|zao4
细|xi4
罥|juan4
椑|bei1
灖|mi3
欎|yu4
最|zui4
堰|yan4
付|fu4
缒|zhui4
⺮|zhu2
狞|ning2
㐺|zhong4
侢|dai4
毫|hao2
贸|mao4
辰|chen2
唢|suo3
汳|Bian4
访|fang3
喁|yong2
磤|yin3
涪|Fu2
颋|ting3
决|jue2
呈|cheng2
犹|you2
耔|zi3
铣|xian3
枭|xiao1
贕|du2
骣|chan3
瘅|dan4
霜|shuang1
鳃|sai1
鑐|xu1
踹|chuai4
啦|la5
慬|jin3
纮|hong2
脳|nao3
唝|hong3
鉼|bing3
馗|kui2
啴|tan1
舰|jian4
鲇|nian2
店|dian4
凋|diao1
蒺|ji2
葴|zhen1
咿|yi1
褾|biao3
腼|mian3
龟|gui1
逋|bu1
砰|peng1
我|wo3
厄|e4
掊|pou3
睾|gao1
茝|chai3
焖|men4
滤|lu:4
甮|beng2
粁|qian1
请|qing3
狎|xia2
蟾|chan2
鉨|xi3
臜|za1
瘛|chi4
瞬|shun4
畑|tian2
嚯|huo4
萆|bi4
裥|jian3
旼|min2
啽|an2
蛔|hui2
诳|kuang2
佼|jiao3
姐|jie3
彳|chi4
佧|ka3
衒|xuan4
榤|jie2
袟|zhi4
剁|duo4
芈|mi3
蠛|mie4
圞|luan2
綂|tong3
哉|zai1
喔|wo5
毌|guan4
罅|xia4
缓|huan3
菘|song1
丳|chan3
扁|pian1
瘨|dian1
妙|miao4
窌|jiao4
娑|suo1
猛|meng3
陨|yun3
叆|ai4
鞯|jian1
脶|luo2
渼|mei3
嵝|lou3
垠|yin2
虖|hu1
拄|zhu3
耐|nai4
馑|jin3
欛|ba4
威|wei1
孝|xiao4
饽|bo1
鵩|fu2
閇|bi4
螈|yuan2
望|wang4
嘒|hui4
咭|ji1
槢|xi2
厼|xx5
疴|ke1
娶|qu3
劓|yi4
抉|jue2
湴|pan2
輹|fu4
改|gai3
卌|xi4
淹|yan1
颖|ying3
特|te4
砄|jue2
锽|huang2
魦|sha1
廾|gong3
扇|shan4
䜩|yan4
饼|bing3
流|liu2
奕|yi4
璩|qu2
壶|hu2
研|yan2
眯|mi1
阙|que4
守|shou3
步|bu4
酩|ming3
氉|sao4
縿|shan1
咥|xi4
狄|di2
筅|xian3
缤|bin1
鸳|yuan1
硬|ying4
濊|hui4
瘠|ji2
縚|tao1
璠|fan2
羼|chan4
桐|tong2
拪|qian1
歈|yu2
嚔|ti4
缇|ti2
鬴|fu3
应|ying4
阿|e1
媢|mao4
锒|lang2
豑|zhi4
囘|hui2
看|kan4
妚|pei1
鵻|zhui1
酴|tu2
蜢|meng3
踉|liang4
围|wei2
鬅|peng2
甀|zhui4
沽|gu1
弦|xian2
皝|huang3
绘|hui4
紽|tuo2
叭|ba1
輣|peng2
酮|tong2
䂶|jie2
恸|tong4
狸|li2
押|ya1
榴|liu2
潍|wei2
牢|lao2
钋|po1
使|shi3
勹|bao1
妊|ren4
鳢|li3
汕|shan4
垖|dui1
嬗|shan4
校|xiao4
颌|he2
朕|zhen4
疒|ne4
硎|xing2
披|pi1
帼|guo2
柳|liu3
莔|meng2
獭|ta3
黪|can3
畄|liu2
葵|kui2
禇|chu3
鴂|jue2
涵|han2
型|xing2
鬲|li4
迅|xun4
岍|qian1
纬|wei3
贮|zhu4
湓|pen2
欐|li4
野|ye3
揎|xuan1
仵|wu3
嘅|ge3
尝|chang2
蓣|yu4
镧|lan2
葳|wei1
沸|fei4
板|pan4
橁|xun2
黍|shu3
甝|han2
珓|jiao4
阚|kan4
琖|zhan3
瑳|cuo1
卤|lu3
但|dan4
鬯|chang4
篖|tang2
诺|nuo4
郓|yun4
唶|jie4
扡|chi3
侏|zhu1
椰|ye1
夊|sui1
戟|ji3
骥|ji4
㹠|tun2
冞|mi2
趿|ta1
檎|qin2
鸩|zhen4
匮|kui4
糸|mi4
衰|shuai1
斾|pei4
堀|ku1
殹|yi4
鬏|jiu1
颅|lu2
牛|niu2
鳁|wen1
驺|zou1
皎|jiao3
豹|bao4
焐|wu4
肤|fu1
纱|sha1
誊|teng2
麀|you1
蒨|qian4
繋|xi4
労|lao2
酢|zuo4
蝲|la4
哂|shen3
毽|jian4
糺|jiu3
垍|ji4
涒|tun1
圕|tuan1
钕|nu:3
庼|qing3
殿|dian4
芝|zhi1
内|nei4
仆|pu2
值|zhi2
鹊|que4
篥|li4
囔|nang1
柤|zha1
甾|zai1
哆|duo1
胦|yang1
嬬|xu1
偨|ci1
祀|si4
糈|xu3
迦|jia1
霹|pi1
怕|pa4
縃|xu1
弮|quan1
擐|huan4
刈|yi4
芯|xin4
㧯|lao3
栭|er2
玗|yu2
鲁|lu3
籽|zi3
唾|tuo4
媰|chu2
希|xi1
譹|hao2
騘|cong1
趐|xue4
甘|gan1
検|jian3
獉|zhen1
壮|zhuang4
殪|yi4
篲|hui4
硒|xi1
盗|dao4
菽|shu1
齧|nie4
惝|chang3
綗|jiong3
沩|gui1
滨|bin1
滓|zi3
嘚|de1
弶|jiang4
塄|leng2
潼|tong2
雀|que4
羚|ling2
聡|cong1
黼|fu3
簖|duan4
莱|lai2
擎|qing2
伇|yi4
鲒|jie2
帟|yi4
瀛|ying2
皆|jie1
铓|mang2
艾|yi4
匸|xi4
于|yu2
杼|zhu4
廨|xie4
嗒|ta4
獒|ao2
恭|gong1
振|zhen4
凊|jing4
寅|yin2
逡|qun1
衅|xin4
窃|qie4
睯|hun1
竟|jing4
踩|cai3
芊|qian1
咎|jiu4
蒽|en1
嗍|suo1
俏|qiao4
次|ci4
妁|shuo4
稙|zhi2
枷|jia1
分|fen4
飘|piao1
凹|wa1
亃|lin2
径|jing4
霓|ni2
搕|ke4
蒟|ju3
旦|dan4
剌|la4
戳|chuo1
器|qi4
铑|lao3
䴔|jiao1
帡|ping2
福|fu2
嗻|zhe4
腠|cou4
葎|lu:4
话|hua4
旎|ni3
㿝|xiang1
咐|fu4
篰|bu4
蝶|die2
鞃|hong2
炻|shi2
垿|xu4
昕|xin1
暪|men4
嗄|sha4
倽|sha2
搔|sao1
吵|chao3
渗|shen4
醣|tang2
筹|chou2
侃|kan3
煞|sha4
俳|pai2
疝|shan4
柲|bi4
玘|qi3
栖|qi1
鹀|wu2
誉|yu4
栝|gua1
狉|pi1
膣|zhi4
髑|du2
荪|sun1
聮|lian2
彭|Peng2
顚|dian1
琠|dian3
揆|kui2
螫|shi4
犩|wei2
铼|lai2
婿|xu4
鸒|yu2
钞|chao1
疡|yang2
辗|zhan3
踊|yong3
搷|chen1
鲫|ji4
搴|qian1
笮|ze2
黡|yan3
敖|ao2
救|jiu4
㹢|jia1
漎|cong2
崋|hua2
縢|teng2
狝|xian3
魖|xu1
靥|ye4
韭|jiu3
泼|po1
旧|jiu4
侵|qin1
磎|xi1
钛|tai4
妖|yao1
字|zi4
易|yi4
当|dang4
柁|tuo2
诨|hun4
俺|an3
忒|tei1
畅|chang4
粞|xi1
预|yu4
碈|min2
粢|zi1
靔|tian1
禋|yin1
藋|diao4
灾|zai1
蔬|shu1
䅟|shan1
瞎|xia1
禅|shan4
鲥|shi2
瓴|ling2
炁|qi4
眉|mei2
妄|wang4
泾|Jing1
㝵|de2
郸|Dan1
效|xiao4
攧|dian1
蜊|li2
壤|rang3
骔|zong1
阐|chan3
柅|ni3
靷|yin3
挶|ju2
娚|nan2
揿|qin4
领|ling3
駆|qu1
芫|yuan2
唪|feng3
雇|gu4
糕|gao1
磠|lu3
翯|he4
诮|qiao4
絷|zhi2
旌|jing1
昡|xuan4
侘|cha4
因|yin1
滗|bi4
旷|kuang4
鯄|qiu2
懋|mao4
掳|lu3
鰅|yu2
窎|diao4
怛|da2
殛|ji2
评|ping2
彝|yi2
沃|wo4
牳|mu3
葅|zu1
獞|tong2
迪|di2
嘛|ma5
衢|qu2
擗|pi3
寻|xun2
璜|huang2
桅|wei2
新|xin1
浠|xi1
嘱|zhu3
稼|jia4
拮|jie2
憸|xian1
惒|he2
晨|chen2
忕|tai4
喭|yan4
颞|nie4
嶡|jue2
駽|xuan4
锄|chu2
跗|fu1
祅|yao1
殙|hun1
仪|yi2
谫|jian3
揅|yan2
猬|wei4
蹓|liu4
埸|yi4
锂|li3
镐|hao4
敲|qiao1
犬|quan3
蹝|xi3
年|nian2
障|zhang4
珛|xiu4
祓|fu2
苍|cang1
溶|rong2
奡|ao4
弗|fu2
嗝|ge2
脑|nao3
彪|biao1
丄|shang4
摹|mo2
荈|chuan3
淙|cong2
佳|jia1
濲|gu3
膳|shan4
鞝|zhang3
峰|feng1
矿|kuang4
汍|wan2
溃|kui4
纺|fang3
臑|nao4
潎|pi4
弯|wan1
顜|jiang3
斝|jia3
槠|zhu1
臣|chen2
勍|qing2
悛|quan1
坆|mei2
絘|ci4
仗|zhang4
督|du1
倦|juan4
泷|long2
柃|ling2
伉|kang4
茷|fa2
已|yi3
发|fa4
藩|fan1
惶|huang2
婴|ying1
蚯|qiu1
銮|luan2
巧|qiao3
镕|rong2
从|zong4
屏|ping2
楔|xie1
嗈|yong1
阖|he2
扒|pa2
遢|ta4
厩|jiu4
芿|reng4
俛|mian3
涬|xing4
杈|cha4
緍|min2
色|shai3
疔|ding1
堑|qian4
盐|yan2
笀|mang2
姄|min2
位|wei4
涙|lei4
庴|ji2
寄|ji4
煌|huang2
芥|jie4
臌|gu3
菢|bao4
霭|ai3
槃|pan2
洄|hui2
狳|yu2
躲|duo3
藘|lu:2
衾|qin1
寮|liao2
嫄|yuan2
许|xu3
営|ying2
諕|hao2
㶶|nong2
眛|mei4
龅|bao1
翻|fan1
钤|qian2
峇|ke4
牄|qiang1
圹|kuang4
锉|cuo4
鼯|wu2
谁|shei2
铜|tong2
瀑|pu4
监|jian4
弝|ba4
璞|pu2
虬|qiu2
厳|yan2
愚|yu2
婊|biao3
婥|chuo4
婤|zhou1
丣|you3
单|dan1
着|zhuo2
隳|hui1
铭|ming2
绢|juan4
鲜|xian3
阒|qu4
鸱|chi1
力|li4
晜|kun1
匝|za1
桔|ju2
濈|ji2
笙|sheng1
粟|su4
茍|ji2
奫|yun1
碏|que4
毈|duan4
灢|nang3
哱|bo1
痧|sha1
卄|nian4
荛|rao2
羞|xiu1
銶|qiu2
晒|shai4
堉|yu4
颚|e4
脸|lian3
芜|wu2
悃|kun3
去|qu4
镇|zhen4
急|ji2
蒦|huo4
臲|nie4
压|ya4
复|fu4
酌|zhuo2
骡|luo2
铿|keng1
媄|mei3
轩|xuan1
劲|jing4
檴|huo4
祝|zhu4
蹼|pu3
肃|su4
材|cai2
鑶|cang2
趋|qu1
駠|liu2
鋊|yu4
胹|er2
资|zi1
麌|wu2
叁|san1
掱|shou3
渐|jian4
歃|sha4
缥|piao3
头|tou5
钓|diao4
未|wei4
豞|hou4
妻|qi4
灸|jiu3
轵|zhi3
佺|quan2
困|kun4
票|piao4
漈|ji4
笛|di2
宜|yi2
钎|qian1
襁|qiang3
羸|lei2
坓|jing3
犴|an4
樧|sha1
疳|gan1
饤|ding4
篌|hou2
砀|dang4
日|ri4
玙|yu2
爬|pa2
谴|qian3
觇|chan1
夺|duo2
掴|guai1
醡|zha4
雹|bao2
斗|dou4
萁|qi2
踜|leng4
闪|shan3
巣|chao2
垫|dian4
廙|yi4
廌|zhi4
婧|jing4
崇|chong2
撂|liao4
魭|yuan2
崮|gu4
阱|jing3
択|ze2
柘|zhe4
琀|han2
谋|mou2
籴|di2
柰|nai4
蛍|ying2
劮|yi4
绸|chou2
牿|gu4
泠|ling2
铳|chong4
肖|xiao4
惠|hui4
瑏|chuan1
搦|nuo4
龈|yin2
客|ke4
杆|gan3
濉|sui1
昊|hao4
觌|di2
管|guan3
脿|biao1
螽|zhong1
毹|shu1
冢|zhong3
舔|tian3
倃|jiu4
爷|ye2
湄|mei2
説|shuo1
农|nong2
惯|guan4
敇|chi4
鲦|tiao2
湛|zhan4
辍|chuo4
刑|xing2
喧|xuan1
咧|lie5
魊|yu4
栏|lan2
蕃|fan2
鼬|you4
撬|qiao4
闫|Yan2
塓|mi4
俷|fei4
遁|dun4
伢|ya2
哦|o5
军|jun1
幠|hu1
炰|pao2
赑|bi4
桓|huan2
骖|can1
瀣|xie4
鬒|zhen3
摂|she4
辅|fu3
斒|ban1
蝈|guo1
还|huan2
诱|you4
皲|jun1
筊|jiao4
厍|She4
禀|bing3
葫|hu2
葡|pu2
狨|rong2
檀|tan2
款|kuan3
飖|yao2
砫|zhu3
陉|xing2
癎|xian2
闰|run4
浬|li3
井|jing3
崃|lai2
㶸|xie2
旝|kuai4
犒|kao4
灞|Ba4
鞴|bei4
樱|ying1
珪|gui1
乭|shi2
㽮|xing1
篛|ruo4
束|shu4
馯|han4
鲛|jiao1
鹓|yuan1
含|han2
馀|yu2
曰|yue1
泚|ci3
苔|tai2
瘦|shou4
扠|cha1
甑|zeng4
榛|zhen1
捱|ai2
姸|yan2
云|yun2
痨|lao2
槻|gui1
了|liao4
嫚|man4
拫|hen2
漂|piao4
酷|ku4
黏|nian2
瓤|rang2
登|deng1
呯|ping2
甔|dan1
厶|si1
妗|jin4
滕|Teng2
罘|fu2
祇|qi2
卼|wu4
鸜|qu2
沭|shu4
冀|ji4
袭|xi2
媛|yuan4
钒|fan2
鋍|bo2
锯|ju4
疬|li4
徕|lai2
庶|shu4
夅|xiang2
跧|quan2
珚|yan1
诟|gou4
卩|jie2
矸|gan1
蠰|shang4
蟊|mao2
跂|zhi1
穄|ji4
就|jiu4
籁|lai4
湍|tuan1
那|nuo2
褙|bei4
每|mei3
枙|e4
荔|li4
忞|wen3
鹂|li2
鸷|zhi4
巳|si4
航|hang2
置|zhi4
牂|zang1
鼢|fen2
搀|chan1
頬|jia2
投|tou2
砯|ping1
茌|Chi2
曌|Zhao4
冠|guan4
诘|jie2
盔|kui1
赞|zan4
簿|bu4
翚|hui1
乩|ji1
穞|lu:3
恍|huang3
㝇|chun2
熟|shu2
筕|hang2
伴|ban4
欑|zan4
覚|jue2
捞|lao1
暲|zhang1
繣|hua4
盹|dun3
眍|kou1
踖|ji2
倷|nai3
玻|bo1
鵗|xi1
苩|pa1
㝄|chun2
撱|tuo3
致|zhi4
孳|zi1
翠|cui4
呎|chi3
礀|jian4
及|ji2
佪|huai2
率|shuai4
詨|jiao1
搋|chuai1
蠋|zhu2
篦|bi4
梭|suo1
膋|liao2
尻|kao1
匁|xx5
蓺|yi4
树|shu4
礝|ruan3
祍|ren4
骼|ge2
冁|chan3
贽|zhi4
碍|ai4
槔|gao1
湮|yin1
车|ju1
妳|ni3
钢|gang1
疋|ya3
韶|shao2
䯄|gua1
耄|mao4
鄇|hou4
枪|qiang1
岌|ji2
突|tu1
蠁|xiang4
对|dui4
鲩|huan4
檠|qing2
只|zhi1
獃|dai1
奬|jiang3
的|di4
渟|ting2
龃|ju3
蔡|Cai4
混|hun4
室|shi4
旪|xie2
荜|bi4
吡|bi3
揺|yao2
窳|yu3
骧|xiang1
䗪|zhe4
姥|mu3
鸣|ming2
拆|chai1
孬|nao1
选|xuan3
归|gui1
肙|yuan1
腻|ni4
羌|qiang1
制|zhi4
漼|cui3
杜|du4
碇|ding4
玹|xuan2
耳|er3
媁|wei3
铵|an3
孱|chan2
澉|gan3
楙|mao4
蹙|cu4
恃|shi4
龝|qiu1
陋|lou4
珶|di4
黛|dai4
漰|peng1
欂|bo2
误|wu4
赸|shan4
窖|jiao4
佉|Qu1
熔|rong2
姁|xu3
钜|ju4
戽|hu4
氝|nei4
䌸|zhuan4
弇|yan3
腐|fu3
裯|chou2
彛|yi2
凮|feng1
夯|hang1
戺|shi4
插|cha1
溽|ru4
涘|si4
蔺|lin4
杵|chu3
袢|pan4
杸|shu1
藊|bian3
镋|tang3
钿|tian2
妤|yu2
珵|cheng2
取|qu3
綅|qin1
㻅|hui4
见|xian4
桋|yi2
嚎|hao2
醍|ti2
兹|zi1
兵|bing1
亪|xx5
钮|niu3
足|zu2
禹|Yu3
噤|jin4
闸|zha2
豏|xian4
萄|tao2
辋|wang3
鹉|wu3
〦|liu4
憺|dan4
蕴|yun4
礲|long2
䳗|e2
本|ben3
㑇|zhou4
蚵|e2
谥|yi4
挫|cuo4
霣|yun3
齚|ze2
湿|shi1
菇|gu1
猴|hou2
袿|gua4
翛|shu4
缵|zuan3
叮|ding1
薪|xin1
焊|han4
跻|ji1
昼|zhou4
握|wo4
瞪|deng4
氏|zhi1
暇|xia2
绀|gan4
夷|yi2
燏|yu4
昂|ang2
逄|Pang2
鷕|yao3
雚|guan4
滢|ying2
霊|ling2
阳|yang2
滪|Yu4
钣|ban3
狩|shou4
摿|yao2
噌|cheng1
滚|gun3
錍|pi1
萸|yu2
饶|rao2
荵|ren3
欸|ai3
讬|tuo1
杭|Hang2
鐬|hui4
佬|lao3
齇|zha1
譶|ta4
遐|xia2
〡|yi1
襉|jian3
腰|yao1
经|jing1
黦|yu4
灠|lan4
揍|zou4
郲|Lai2
梯|ti1
礗|pin1
樘|tang2
傅|fu4
筸|gan1
瘟|wen1
闿|kai3
礧|lei4
軃|duo3
奶|nai3
罓|wang3
妸|e1
嚉|duo1
迎|ying2
媺|mei3
讯|xun4
刁|diao1
沓|ta4
邦|bang1
劈|pi3
嘭|peng1
嗳|ai4
触|chu4
僧|seng1
塞|se4
搰|hu2
萚|tuo4
榥|huang3
滞|zhi4
糊|hu2
憀|liao2
叙|xu4
藟|lei3
碃|qing4
躧|xi3
栾|luan2
狒|fei4
瀬|lai4
醹|ru2
诊|zhen3
镭|lei2
廿|nian4
慆|tao1
崠|Dong1
音|yin1
镤|pu2
序|xu4
肪|fang2
汗|han4
髦|mao2
酝|yun4
龁|he2
恇|kuang1
汁|zhi1
涎|xian2
绌|chu4
逾|yu2
窒|zhi4
贿|hui4
吋|cun4
碛|qi4
樻|gui4
饔|yong1
讹|e2
茆|mao3
雂|qin2
雅|ya3
勐|meng3
禸|rou2
晁|Chao2
筈|gua1
儡|lei3
淤|yu1
跟|gen1
鏠|feng1
栲|kao3
豜|jian1
霞|xia2
私|si1
閟|bi4
络|luo4
楪|die2
薳|Wei3
漷|kuo4
薅|hao1
觵|gong1
獾|huan1
褴|lan2
鉲|ka3
沷|fa1
验|yan4
恰|qia4
沾|zhan1
佣|yong1
湘|Xiang1
铒|er3
吐|tu4
氹|dang4
槌|chui2
笑|xiao4
溵|Yin1
昀|yun2
菫|jin3
萻|an1
骙|kui2
锗|zhe3
瞵|lin2
嵋|mei2
独|du2
恪|ke4
媖|ying1
琬|wan3
莕|xing4
輂|ju2
楰|yu2
舝|xia2
罩|zhao4
餟|zhui4
镈|bo2
鴪|yu4
怃|wu3
欀|xiang1
糬|shu3
肛|gang1
划|hua4
腆|tian3
考|kao3
狭|xia2
鴽|ru2
鹇|xian2
提|ti2
报|bao4
朿|ci4
滮|biao1
岊|jie2
敷|fu1
乨|shi3
辱|ru3
挪|nuo2
镚|beng4
题|ti2
匀|yun2
観|guan1
噗|pu1
荤|hun1
邬|Wu1
砣|tuo2
踋|jiao3
獙|bi4
碘|dian3
掺|shan3
殍|piao3
嫁|jia4
亵|xie4
嶙|lin2
羵|fen3
枧|jian3
俞|yu2
啤|pi2
陑|Er2
嫒|ai4
趟|tang4
镵|chan2
鄤|man4
嬦|chou2
屠|tu2
醒|xing3
塍|cheng2
哈|ha3
粼|lin2
妩|wu3
怦|peng1
蓟|ji4
轹|li4
㳮|niao4
戦|zhan4
挹|yi4
审|shen3
帷|wei2
埘|shi2
繘|yu4
侍|shi4
藁|gao3
瞿|ju4
钶|ke1
犸|ma3
磭|chuo4
确|que4
蓊|weng3
吽|hou3
汲|ji2
矬|cuo2
澟|lin3
嵾|cen1
誋|ji4
蚳|chi2
呸|pei1
举|ju3
勿|wu4
萦|ying2
眂|shi4
陴|pi2
筷|kuai4
柒|qi1
商|shang1
愤|fen4
蓄|xu4
叱|chi4
羇|ji1
哨|shao4
虼|ge4
旱|han4
勾|gou4
晃|huang4
埒|lie4
鞥|eng1
巯|qiu2
暮|mu4
氵|shui3
蘸|zhan4
烧|shao1
阀|fa2
鼖|fen2
囷|qun1
宅|zhai2
衬|chen4
晿|cheng1
苈|li4
儅|dang1
弧|hu2
嵚|qin1
禥|qi2
鎴|xi2
瀳|jian4
鴳|yan4
臀|tun2
艩|qi2
蹑|nie4
锚|mao2
夼|kuang3
鹍|kun1
熯|han4
片|pian4
襌|dan1
戊|wu4
扤|wu4
畟|ce4
倜|ti4
堵|du3
蕾|lei3
户|hu4
稔|ren3
顕|xian3
犮|quan3
魠|tuo1
腥|xing1
怚|ju4
芰|ji4
姗|shan1
痯|guan3
玖|jiu3
虽|sui1
凌|ling2
狘|yue4
睟|sui4
髧|dan4
贰|er4
姿|zi1
燚|yi4
搡|sang3
蝎|xie1
煦|xu4
桀|jie2
俶|chu4
逵|kui2
揘|huang2
餂|tian3
伞|san3
邰|Tai2
樛|jiu1
佤|wa3
兞|hao2 ke4
埀|chui2
仨|sa1
粔|ju4
鶒|chi4
煰|zao4
磹|dian4
剟|duo1
坷|ke3
夓|xia4
圳|zhen4
濞|bi4
鞍|an1
臇|juan3
